 ( -4500.7258752439184     , -5867.7502592900473     ) ( -162.56738670461505     ,  2879.7469735398358     ) ( -38.016444886986143     ,  11.264017979919714     ) (  5.5316414904589095     , -26.147906893424064     ) (  199.24441680171969     ,  110.79295436147852     ) (  5.5316414904585871     , -26.147906893422089     ) ( -38.016444886987095     ,  11.264017979919602     ) ( -162.56738670461380     ,  2879.7469735398399     )
 ( -162.56738670461505     ,  2879.7469735398358     ) ( -4500.7258752439184     , -5867.7502592900473     ) ( -162.56738670461505     ,  2879.7469735398358     ) ( -38.016444886986143     ,  11.264017979919714     ) (  5.5316414904589095     , -26.147906893424064     ) (  199.24441680171967     ,  110.79295436147881     ) (  5.5316414904591751     , -26.147906893423304     ) ( -38.016444886986285     ,  11.264017979921272     )
 ( -38.016444886986143     ,  11.264017979919711     ) ( -162.56738670461505     ,  2879.7469735398358     ) ( -4500.7258752439184     , -5867.7502592900473     ) ( -162.56738670461505     ,  2879.7469735398358     ) ( -38.016444886986143     ,  11.264017979919714     ) (  5.5316414904590419     , -26.147906893424299     ) (  199.24441680171972     ,  110.79295436147883     ) (  5.5316414904585871     , -26.147906893422089     )
 (  5.5316414904589095     , -26.147906893424068     ) ( -38.016444886986143     ,  11.264017979919711     ) ( -162.56738670461505     ,  2879.7469735398358     ) ( -4500.7258752439184     , -5867.7502592900473     ) ( -162.56738670461505     ,  2879.7469735398358     ) ( -38.016444886987188     ,  11.264017979919590     ) (  5.5316414904572122     , -26.147906893423691     ) (  199.24441680171967     ,  110.79295436147881     )
 (  199.24441680171972     ,  110.79295436147852     ) (  5.5316414904589095     , -26.147906893424068     ) ( -38.016444886986143     ,  11.264017979919711     ) ( -162.56738670461505     ,  2879.7469735398358     ) ( -4500.7258752439184     , -5867.7502592900473     ) ( -162.56738670460868     ,  2879.7469735398263     ) ( -38.016444886985767     ,  11.264017979921093     ) (  5.5316414904590419     , -26.147906893424299     )
 (  5.5316414904585818     , -26.147906893422086     ) (  199.24441680171972     ,  110.79295436147881     ) (  5.5316414904590365     , -26.147906893424295     ) ( -38.016444886987188     ,  11.264017979919590     ) ( -162.56738670460868     ,  2879.7469735398263     ) ( -4500.7258752439184     , -5867.7502592900473     ) ( -162.56738670462016     ,  2879.7469735398508     ) ( -38.016444886986143     ,  11.264017979919714     )
 ( -38.016444886987088     ,  11.264017979919604     ) (  5.5316414904591742     , -26.147906893423308     ) (  199.24441680171967     ,  110.79295436147881     ) (  5.5316414904572122     , -26.147906893423702     ) ( -38.016444886985767     ,  11.264017979921094     ) ( -162.56738670462005     ,  2879.7469735398508     ) ( -4500.7258752439184     , -5867.7502592900473     ) ( -162.56738670460263     ,  2879.7469735398172     )
 ( -162.56738670461385     ,  2879.7469735398399     ) ( -38.016444886986271     ,  11.264017979921276     ) (  5.5316414904585818     , -26.147906893422086     ) (  199.24441680171972     ,  110.79295436147881     ) (  5.5316414904590365     , -26.147906893424295     ) ( -38.016444886986143     ,  11.264017979919711     ) ( -162.56738670460268     ,  2879.7469735398172     ) ( -4500.7258752439184     , -5867.7502592900473     )
